vehicle_type,vehicle_make,vehicle_model,vehicle_year,vehicle_age,vehicle_condition,vehicle_price,engine_type,age,gender,occupation,region,driving_experience,claims_history,policy_tenure,policy_type,claim_id,claim_date,claim_amount,claim_reason,damage_type,reported_delay,police_report,repair_estimate,actual_repair_cost,submission_channel,payment_channel,customer_contacted,agent_id,agent_city,fraud_reported,net_premium
SUV,Ford,Focus,2011,14,Used,30291.18,Diesel,43,Female,Unemployed,South,30,3,28,Comprehensive,C100561,2020-12-24 22:15:20,3974.04,Fire,Major,1,1,6077.1,500.0,Phone,Cash,1,A266,South,0,2514.46
Convertible,Mercedes,C-Class,2010,15,Used,34187.58,Hybrid,67,Female,Doctor,South,21,2,18,Comprehensive,C100562,2022-08-12 12:22:40,3330.4,Accident,Total Loss,1,1,4232.15,1337.75,Phone,Bank Transfer,0,A919,North,0,2599.97
Coupe,Ford,F-150,2011,14,Used,21596.57,Petrol,54,Male,Unemployed,North,14,4,13,Collision,C100563,2020-02-05 22:23:57,6445.49,Accident,Major,6,0,4045.01,2636.37,Online,Bank Transfer,0,A930,Central,0,1272.54
SUV,Mercedes,E-Class,2017,8,Used,21261.09,Diesel,57,Female,Doctor,East,37,0,37,Collision,C100564,2020-09-09 22:17:40,5694.29,Accident,Total Loss,4,1,4939.77,6436.71,Online,Cash,1,A281,East,0,1330.85
Convertible,BMW,3 Series,2011,14,Used,22561.28,Petrol,19,Male,Lawyer,North,36,1,34,Third-party,C100565,2021-03-14 11:21:12,8407.99,Fire,Minor,4,1,2184.84,3528.93,In-Person,Bank Transfer,1,A522,North,0,1096.31
SUV,Mercedes,E-Class,2015,10,Used,19155.8,Diesel,67,Male,Teacher,South,27,2,24,Comprehensive,C100566,2018-01-29 02:56:58,0.0,Fire,Minor,2,0,1647.7,4766.6,In-Person,Bank Transfer,1,A125,Central,0,1384.56
Convertible,Honda,Civic,2004,21,Used,16797.76,Diesel,36,Female,Lawyer,West,10,2,8,Comprehensive,C100567,2023-12-08 08:30:55,3770.24,Theft,Total Loss,3,1,4258.6,5098.67,In-Person,Cash,1,A283,South,0,1610.92
Coupe,Toyota,RAV4,2019,6,New,28386.69,Electric,67,Female,Lawyer,Central,13,0,10,Third-party,C100568,2023-05-10 08:17:44,5548.14,Vandalism,Minor,1,1,4559.77,2903.54,Online,Check,1,A854,South,0,2450.31
Sedan,Mercedes,E-Class,2011,14,New,16808.56,Petrol,69,Female,Driver,South,10,3,10,Comprehensive,C100569,2020-03-24 22:23:15,4321.42,Vandalism,Major,8,0,6240.75,6934.53,Phone,Check,0,A440,West,0,1403.68
Convertible,Mercedes,E-Class,2020,5,Used,16347.16,Petrol,33,Female,Lawyer,South,8,0,8,Third-party,C100570,2021-01-25 12:43:06,1317.94,Vandalism,Minor,5,1,7860.89,1498.75,Online,Bank Transfer,1,A901,Central,0,1242.51
Coupe,Toyota,Corolla,2010,15,Damaged,27186.96,Petrol,21,Male,Doctor,Central,23,1,21,Comprehensive,C100571,2022-07-13 22:27:10,4964.69,Fire,Minor,2,1,5096.74,4827.8,Online,Check,1,A521,West,0,2465.88
SUV,Honda,CR-V,2008,17,Used,27800.88,Electric,66,Male,Driver,Central,9,2,6,Comprehensive,C100572,2022-10-19 06:43:38,1440.46,Fire,Total Loss,2,1,4241.34,4018.19,Phone,Check,1,A921,East,0,2232.84
Truck,Ford,F-150,2017,8,Used,38667.77,Diesel,55,Male,Teacher,East,37,1,37,Collision,C100573,2023-04-19 09:19:50,2555.15,Vandalism,Major,5,1,4238.87,3894.15,Phone,Check,1,A785,West,0,2653.71
Van,Mercedes,GLA,2002,23,Used,29757.31,Electric,61,Male,Doctor,North,42,1,38,Third-party,C100574,2022-04-21 11:03:57,5857.63,Accident,Minor,2,1,2545.25,2211.59,Online,Bank Transfer,1,A984,South,0,2291.79
Coupe,Toyota,RAV4,2019,6,New,26616.22,Diesel,24,Female,Engineer,Central,40,2,40,Third-party,C100575,2023-05-30 17:47:13,1983.03,Accident,Major,5,1,6785.87,5215.82,In-Person,Cash,1,A852,Central,0,2417.5
Coupe,BMW,3 Series,2016,9,Used,27770.75,Diesel,72,Male,Teacher,North,36,3,33,Third-party,C100576,2019-11-24 19:12:41,2449.11,Theft,Minor,1,1,6115.25,5069.23,Online,Check,1,A930,North,0,2387.99
Coupe,Toyota,RAV4,2013,12,New,18816.93,Diesel,31,Male,Unemployed,South,41,2,37,Third-party,C100577,2018-08-22 19:01:43,6993.85,Vandalism,Total Loss,2,0,3479.1,4187.73,Phone,Cash,0,A354,West,0,914.58
Convertible,BMW,3 Series,2000,25,Used,24497.72,Diesel,29,Male,Engineer,West,31,3,31,Third-party,C100578,2018-09-17 04:01:32,2824.95,Fire,Minor,3,0,1334.06,3582.51,Phone,Cash,1,A373,South,0,1168.17
Convertible,Honda,Civic,2016,9,Used,24877.14,Hybrid,38,Male,Doctor,West,19,1,16,Comprehensive,C100579,2020-10-26 19:00:24,4804.27,Fire,Major,5,0,1140.73,1016.14,Phone,Cash,1,A263,North,0,1578.59
Truck,Ford,Escape,2007,18,Used,15663.42,Diesel,69,Female,Teacher,East,13,1,11,Third-party,C100580,2023-05-26 21:58:37,4458.44,Vandalism,Minor,2,1,2548.37,7460.36,Phone,Cash,1,A906,Central,0,1551.78
Sedan,Toyota,Corolla,2004,21,Damaged,19608.44,Electric,51,Male,Engineer,East,37,3,35,Comprehensive,C100581,2021-10-25 21:35:14,6843.42,Vandalism,Minor,4,1,7751.69,3445.38,Online,Check,0,A818,West,0,1093.06
SUV,Hyundai,Tucson,2004,21,New,27619.14,Petrol,38,Female,Engineer,East,3,1,3,Collision,C100582,2022-06-16 11:33:01,5099.6,Accident,Major,3,0,4304.08,4440.2,Online,Check,0,A210,East,0,1534.81
Sedan,Mercedes,E-Class,2008,17,New,19851.93,Diesel,53,Female,Teacher,West,23,2,20,Third-party,C100583,2020-03-19 15:16:08,5084.12,Vandalism,Major,1,1,3662.55,5944.72,Online,Check,1,A491,South,0,900.28
Convertible,Honda,Accord,2002,23,Used,24892.57,Electric,57,Male,Lawyer,Central,31,0,28,Third-party,C100584,2021-08-29 05:07:09,6753.32,Accident,Minor,3,0,4554.93,6436.62,In-Person,Bank Transfer,0,A993,Central,0,2036.23
Convertible,Toyota,RAV4,2018,7,Damaged,27174.38,Electric,59,Female,Doctor,Central,54,1,51,Third-party,C100585,2022-06-27 08:00:29,4192.57,Vandalism,Minor,2,0,6481.53,2718.88,In-Person,Bank Transfer,1,A139,South,1,2094.51
Coupe,Mercedes,GLA,2022,3,Used,26801.15,Electric,66,Female,Doctor,Central,52,0,49,Collision,C100586,2023-04-08 15:20:42,2927.69,Accident,Major,2,0,5075.07,6088.71,Online,Cash,1,A979,West,0,2276.54
Coupe,Toyota,Camry,2008,17,Damaged,33845.2,Electric,24,Male,Driver,South,9,0,7,Comprehensive,C100587,2020-03-17 22:00:53,5571.3,Accident,Minor,3,0,6515.13,1557.11,In-Person,Check,0,A581,West,0,2710.73
Sedan,BMW,X5,2021,4,Used,15349.75,Electric,38,Male,Teacher,North,53,2,49,Third-party,C100588,2020-11-24 08:03:47,3797.5,Fire,Minor,1,0,1910.08,3626.2,Phone,Cash,1,A327,West,0,1265.58
SUV,Toyota,RAV4,2017,8,Used,33140.15,Diesel,27,Female,Doctor,South,42,2,40,Collision,C100589,2019-05-18 17:11:00,8925.28,Theft,Minor,1,1,1093.07,7175.89,Phone,Cash,1,A304,East,0,1869.02
Convertible,Hyundai,Sonata,2015,10,Damaged,23794.21,Petrol,38,Male,Engineer,East,15,3,13,Third-party,C100590,2019-10-04 10:01:40,4158.07,Accident,Major,1,1,4528.9,743.58,In-Person,Check,1,A936,South,0,1528.35
Convertible,Toyota,Camry,2000,25,Used,26672.38,Diesel,66,Female,Teacher,East,38,0,38,Third-party,C100591,2023-12-08 02:27:30,11114.49,Vandalism,Minor,2,1,2964.87,1617.01,In-Person,Cash,1,A571,South,0,1190.49
Sedan,Toyota,Camry,2001,24,Used,25575.61,Diesel,33,Female,Unemployed,Central,31,2,29,Comprehensive,C100592,2020-02-13 23:41:33,6677.48,Theft,Minor,3,1,6386.48,3308.01,Phone,Bank Transfer,1,A458,South,0,1888.04
Van,Hyundai,Elantra,2013,12,Used,25170.83,Petrol,42,Male,Engineer,South,17,0,15,Comprehensive,C100593,2020-03-10 14:00:54,3384.25,Theft,Minor,4,1,3597.68,5149.09,In-Person,Bank Transfer,0,A412,North,0,1362.16
Coupe,Honda,CR-V,2013,12,Used,14901.03,Hybrid,30,Male,Teacher,South,24,3,23,Third-party,C100594,2020-02-29 06:11:44,5575.71,Vandalism,Minor,3,0,500.0,7211.7,In-Person,Cash,1,A940,North,0,1484.7
Truck,Toyota,RAV4,2000,25,Used,26378.29,Diesel,72,Male,Engineer,Central,6,3,6,Comprehensive,C100595,2018-12-02 06:25:06,9988.02,Vandalism,Major,3,0,5460.68,9066.28,Online,Bank Transfer,0,A914,West,0,1837.76
Convertible,Hyundai,Tucson,2015,10,Used,8489.35,Petrol,67,Male,Engineer,North,55,2,51,Collision,C100596,2021-07-26 17:13:15,4921.74,Theft,Minor,2,1,5256.88,1573.47,In-Person,Cash,1,A992,East,0,664.88
SUV,Mercedes,C-Class,2014,11,Used,36762.13,Diesel,44,Female,Teacher,North,52,1,52,Third-party,C100597,2022-05-12 07:38:59,6527.24,Vandalism,Minor,0,1,500.0,4092.51,In-Person,Check,0,A333,North,0,1875.5
Van,BMW,3 Series,2014,11,Used,23054.56,Petrol,54,Female,Driver,South,46,3,46,Comprehensive,C100598,2020-08-05 00:29:23,8863.04,Theft,Minor,3,1,4257.01,1754.82,In-Person,Cash,1,A328,West,0,1576.07
Sedan,BMW,X3,2011,14,New,29279.77,Hybrid,25,Female,Engineer,South,50,2,49,Collision,C100599,2022-10-20 09:21:20,5758.08,Fire,Minor,5,1,1893.77,4189.26,Online,Cash,0,A124,West,0,2096.7
Sedan,Toyota,Corolla,2015,10,Used,25454.54,Electric,47,Female,Teacher,North,17,0,16,Comprehensive,C100600,2022-02-12 14:52:00,6173.01,Fire,Minor,2,1,1832.51,3033.48,Phone,Bank Transfer,0,A775,Central,0,1636.98
SUV,Honda,CR-V,2013,12,New,20292.68,Petrol,48,Male,Lawyer,West,46,1,44,Comprehensive,C100601,2023-07-11 07:33:12,7662.89,Accident,Minor,6,0,6079.05,3409.53,Online,Cash,1,A297,Central,0,1627.03
Coupe,Honda,Accord,2014,11,Damaged,15674.0,Diesel,24,Female,Unemployed,West,17,0,14,Third-party,C100602,2022-04-23 04:27:49,6898.81,Accident,Minor,3,1,4473.44,5838.88,In-Person,Check,1,A508,West,0,1176.56
Coupe,Mercedes,C-Class,2022,3,New,14157.3,Diesel,47,Female,Lawyer,East,2,1,0,Comprehensive,C100603,2023-05-13 20:00:49,6736.77,Theft,Minor,3,1,3270.9,3102.3,Online,Cash,1,A436,Central,0,777.39
Van,Toyota,Camry,2014,11,Used,26234.93,Hybrid,35,Female,Unemployed,South,0,2,0,Collision,C100604,2020-10-26 02:49:51,6118.18,Theft,Major,4,1,1824.21,3158.24,Online,Check,1,A385,South,0,1381.27
SUV,BMW,3 Series,2018,7,Used,25815.94,Hybrid,40,Female,Driver,North,32,0,28,Third-party,C100605,2023-06-23 03:23:58,6921.73,Theft,Minor,3,0,2859.33,3811.77,In-Person,Check,1,A985,West,0,1202.09
Convertible,Honda,Civic,2007,18,Used,24467.59,Petrol,55,Male,Teacher,Central,6,0,2,Comprehensive,C100606,2021-02-10 05:23:17,860.84,Fire,Minor,3,1,2892.42,2113.45,Online,Cash,1,A171,West,0,1767.04
Van,Toyota,Camry,2001,24,Used,19057.87,Electric,62,Male,Unemployed,Central,9,2,8,Third-party,C100607,2023-10-16 10:20:24,6665.2,Vandalism,Minor,3,1,4400.89,6490.89,Phone,Bank Transfer,0,A891,West,0,1291.05
Truck,Honda,Civic,2001,24,Used,23305.89,Diesel,73,Male,Driver,West,43,1,41,Third-party,C100608,2022-01-12 00:53:07,2715.97,Theft,Major,4,1,3226.81,1965.98,Phone,Cash,1,A385,Central,0,2147.53
Truck,Hyundai,Elantra,2009,16,New,16617.17,Electric,58,Female,Unemployed,North,7,0,7,Collision,C100609,2023-11-24 19:48:06,3487.66,Theft,Minor,2,0,3321.05,1613.2,Phone,Cash,1,A459,Central,0,1069.2
SUV,Honda,Civic,2002,23,Damaged,14553.42,Hybrid,47,Female,Engineer,West,53,1,53,Comprehensive,C100610,2021-04-03 03:13:02,7366.59,Vandalism,Minor,6,1,6138.34,3775.16,Online,Cash,0,A756,Central,0,756.84
Truck,BMW,3 Series,2022,3,New,17781.4,Hybrid,72,Male,Unemployed,West,31,5,31,Comprehensive,C100611,2022-01-29 03:01:24,3365.83,Vandalism,Total Loss,7,1,4553.49,4325.69,Online,Bank Transfer,1,A621,West,0,1688.5
SUV,Ford,Escape,2016,9,Damaged,18133.36,Petrol,47,Male,Unemployed,South,22,2,18,Third-party,C100612,2020-07-31 05:49:13,2381.26,Fire,Major,3,1,3763.89,4912.62,In-Person,Bank Transfer,1,A509,North,0,1403.3
Convertible,Mercedes,C-Class,2007,18,Used,31713.62,Hybrid,25,Female,Lawyer,South,16,1,15,Comprehensive,C100613,2018-07-04 16:27:16,7446.41,Accident,Minor,2,1,500.0,2188.18,Online,Cash,1,A795,West,0,2033.19
Coupe,Mercedes,E-Class,2022,3,Used,9079.76,Petrol,29,Female,Driver,North,13,2,10,Comprehensive,C100614,2021-07-11 04:37:29,2384.29,Theft,Minor,3,1,7848.71,1501.73,Phone,Check,1,A963,South,0,933.3
Convertible,BMW,3 Series,2003,22,Used,19735.75,Petrol,27,Female,Engineer,East,16,3,16,Collision,C100615,2021-08-21 04:30:15,3404.51,Fire,Minor,3,0,4003.1,6726.99,Phone,Cash,0,A649,South,0,1109.83
SUV,Honda,Civic,2013,12,Used,25058.77,Electric,24,Female,Lawyer,South,24,0,22,Collision,C100616,2018-01-30 22:27:49,8768.07,Vandalism,Minor,1,1,4507.88,1620.87,In-Person,Cash,1,A439,Central,0,1382.93
Convertible,Toyota,Corolla,2020,5,Used,35884.28,Electric,56,Female,Driver,East,20,2,16,Collision,C100617,2019-10-15 20:37:08,3081.18,Fire,Total Loss,3,0,4325.45,2470.34,Online,Cash,1,A128,South,0,3010.8
Truck,Honda,Civic,2009,16,New,15140.53,Petrol,34,Male,Engineer,West,54,1,53,Comprehensive,C100618,2018-09-02 02:47:42,7566.45,Vandalism,Major,0,0,5341.49,3120.77,Online,Bank Transfer,1,A218,North,0,1034.29
Convertible,BMW,X5,2000,25,Damaged,11072.66,Petrol,49,Male,Unemployed,West,5,1,3,Third-party,C100619,2021-06-06 12:00:37,3843.32,Theft,Major,2,0,2346.94,5748.32,Phone,Check,1,A998,East,0,1185.66
Truck,Mercedes,E-Class,2003,22,Used,25783.99,Petrol,22,Male,Doctor,North,19,2,19,Comprehensive,C100620,2020-03-25 16:16:43,1707.75,Accident,Minor,1,1,6079.12,3362.28,Phone,Cash,0,A367,North,0,1422.23
Coupe,Honda,Civic,2000,25,Used,21318.86,Hybrid,59,Male,Lawyer,North,48,3,46,Collision,C100621,2022-06-28 08:59:21,3180.66,Vandalism,Minor,5,1,2721.77,6713.56,Online,Check,1,A282,East,0,1759.08
Coupe,Mercedes,E-Class,2016,9,Used,18233.62,Electric,38,Female,Engineer,West,19,1,15,Collision,C100622,2018-05-17 02:48:36,2599.46,Accident,Minor,1,1,2118.67,6295.02,In-Person,Check,1,A694,South,0,866.7
Truck,Toyota,Camry,2016,9,New,23501.02,Hybrid,48,Female,Doctor,East,25,1,24,Comprehensive,C100623,2023-08-03 00:35:55,4290.05,Fire,Minor,1,0,4898.44,3836.76,In-Person,Bank Transfer,1,A371,West,0,1100.47
Sedan,Mercedes,C-Class,2006,19,Used,26894.75,Electric,69,Female,Driver,East,31,1,30,Comprehensive,C100624,2020-05-14 10:28:28,6808.25,Accident,Major,4,0,4471.91,3751.65,Phone,Check,0,A139,West,0,1535.96
Convertible,Mercedes,C-Class,2022,3,New,25896.32,Hybrid,32,Male,Doctor,West,7,2,5,Third-party,C100625,2018-08-16 17:29:46,6053.49,Vandalism,Total Loss,0,0,5022.51,5292.53,In-Person,Cash,1,A211,West,0,1732.89
Convertible,Ford,Focus,2019,6,Used,22413.81,Electric,30,Male,Unemployed,Central,44,1,42,Comprehensive,C100626,2021-08-01 22:20:17,6212.58,Vandalism,Major,6,1,4481.69,6077.53,Online,Bank Transfer,1,A710,West,0,1374.47
SUV,Ford,F-150,2014,11,Used,30534.44,Petrol,63,Female,Lawyer,Central,47,1,47,Comprehensive,C100627,2020-07-07 02:59:45,10414.51,Theft,Minor,2,0,3872.86,2278.7,In-Person,Cash,1,A544,East,0,2465.94
SUV,Hyundai,Elantra,2012,13,Used,21579.16,Electric,66,Male,Teacher,East,43,3,41,Third-party,C100628,2021-11-13 18:46:11,5454.98,Theft,Minor,3,0,5504.04,3429.22,Phone,Cash,0,A453,South,0,1615.34
Van,Ford,Focus,2001,24,Used,20344.97,Hybrid,24,Female,Driver,Central,28,3,25,Collision,C100629,2018-07-09 00:11:52,8972.99,Theft,Major,7,1,2148.9,2681.02,In-Person,Cash,1,A846,Central,0,1909.23
Truck,Mercedes,C-Class,2018,7,New,25711.13,Diesel,41,Female,Doctor,South,16,1,15,Collision,C100630,2018-10-24 23:02:50,6778.78,Fire,Minor,3,0,4213.35,1724.27,In-Person,Cash,1,A905,East,0,2002.44
Coupe,BMW,X3,2012,13,New,9915.76,Electric,70,Male,Engineer,North,17,2,16,Third-party,C100631,2020-06-11 00:33:45,5401.35,Vandalism,Minor,5,0,2222.52,2417.15,Online,Check,1,A421,Central,0,723.53
Coupe,Mercedes,C-Class,2010,15,Used,24926.04,Hybrid,21,Male,Teacher,North,39,1,36,Third-party,C100632,2022-08-20 18:08:29,3834.09,Theft,Major,5,1,1674.89,5063.97,Phone,Cash,0,A546,Central,0,1832.52
Sedan,BMW,X3,2021,4,New,17574.25,Electric,58,Female,Teacher,Central,17,3,16,Third-party,C100633,2023-03-31 09:57:54,12104.22,Fire,Major,5,0,5131.03,5804.12,Online,Check,1,A720,Central,0,1341.45
Truck,BMW,X3,2014,11,New,9360.12,Hybrid,36,Male,Driver,West,10,0,10,Third-party,C100634,2018-06-04 11:37:38,7190.42,Vandalism,Minor,3,1,7065.69,4383.06,Online,Cash,1,A623,Central,0,934.95
Convertible,Ford,Focus,2009,16,New,23401.48,Diesel,63,Male,Doctor,South,44,4,41,Comprehensive,C100635,2020-04-30 23:23:23,1973.42,Theft,Minor,2,1,2668.21,5319.55,Phone,Cash,1,A218,West,0,1595.31
Van,Honda,CR-V,2008,17,Used,16333.82,Electric,52,Male,Lawyer,Central,11,3,7,Comprehensive,C100636,2022-07-11 10:08:23,2923.58,Vandalism,Minor,2,0,2055.33,5384.24,Phone,Check,0,A494,North,0,1129.32
Truck,Toyota,Camry,2008,17,Damaged,7084.13,Petrol,46,Male,Doctor,West,14,1,12,Comprehensive,C100637,2018-07-18 12:05:12,3768.83,Theft,Minor,2,1,3014.85,2707.95,Online,Bank Transfer,0,A690,West,0,814.58
Van,Ford,F-150,2019,6,Damaged,13030.88,Hybrid,53,Male,Doctor,West,25,2,22,Comprehensive,C100638,2022-03-27 04:59:08,6227.79,Theft,Minor,3,1,4338.33,3672.97,Online,Cash,1,A294,North,0,1037.1
Truck,Ford,F-150,2000,25,New,33517.21,Hybrid,72,Male,Driver,East,56,1,56,Collision,C100639,2022-05-27 09:29:55,10082.53,Vandalism,Minor,0,1,6253.91,1196.11,Phone,Bank Transfer,1,A360,West,0,2017.57
Convertible,Honda,Civic,2016,9,New,15546.44,Diesel,51,Male,Driver,South,2,1,0,Collision,C100640,2023-05-17 08:49:05,5401.62,Fire,Minor,5,1,6562.99,2424.51,Phone,Bank Transfer,1,A145,South,0,1429.7
Convertible,Toyota,Corolla,2011,14,Used,22583.75,Petrol,25,Male,Engineer,South,2,3,1,Collision,C100641,2023-10-18 11:34:31,0.0,Vandalism,Minor,3,1,2447.41,5223.18,Online,Check,1,A825,North,0,1220.89
Truck,Mercedes,C-Class,2009,16,Used,11326.97,Diesel,19,Male,Lawyer,East,37,1,36,Comprehensive,C100642,2019-09-17 07:17:35,5688.5,Accident,Minor,4,0,5125.04,7125.67,In-Person,Cash,0,A546,West,0,1140.77
Coupe,Hyundai,Elantra,2004,21,Used,36807.43,Electric,21,Female,Driver,West,34,1,33,Collision,C100643,2019-05-31 07:23:39,1635.19,Fire,Minor,5,1,7467.86,500.0,Online,Check,1,A101,West,0,2967.67
Coupe,Hyundai,Tucson,2017,8,Used,20554.69,Diesel,19,Male,Engineer,West,8,0,7,Comprehensive,C100644,2019-08-25 01:27:54,4242.49,Fire,Major,2,1,2261.06,5214.47,In-Person,Cash,1,A632,West,0,1108.83
Sedan,Mercedes,E-Class,2014,11,Used,14527.57,Hybrid,47,Female,Unemployed,Central,42,1,42,Collision,C100645,2022-08-14 11:04:00,9957.34,Vandalism,Minor,2,1,4773.06,500.0,Online,Bank Transfer,0,A925,North,0,920.68
Convertible,Ford,F-150,2005,20,New,27080.75,Electric,74,Female,Teacher,North,39,1,37,Third-party,C100646,2023-07-29 22:19:03,6223.94,Theft,Total Loss,1,1,500.0,7317.08,Online,Check,1,A651,East,0,1701.57
SUV,Toyota,Camry,2006,19,Used,36401.6,Electric,46,Female,Engineer,East,3,1,2,Third-party,C100647,2021-10-16 06:41:45,3266.44,Accident,Minor,3,0,3952.62,500.0,Phone,Check,1,A803,East,0,2372.38
Sedan,Ford,F-150,2016,9,New,16733.93,Petrol,21,Male,Lawyer,Central,53,0,53,Comprehensive,C100648,2023-04-26 17:26:51,4881.46,Vandalism,Minor,2,0,3925.1,4172.48,Online,Bank Transfer,1,A836,Central,0,1580.29
Truck,BMW,X3,2005,20,Used,14367.64,Hybrid,38,Male,Engineer,South,55,1,55,Collision,C100649,2023-04-10 04:39:39,6699.33,Fire,Major,1,0,7664.15,2956.14,In-Person,Cash,0,A859,North,0,810.29
Sedan,Ford,F-150,2007,18,Used,38361.29,Diesel,26,Male,Unemployed,South,19,0,19,Comprehensive,C100650,2022-06-23 15:42:57,6063.14,Fire,Minor,2,1,3969.08,3863.6,Phone,Check,1,A854,West,0,2209.63
SUV,Ford,F-150,2011,14,Used,19018.58,Diesel,19,Female,Engineer,South,14,5,10,Third-party,C100651,2023-11-30 07:04:20,4949.54,Fire,Major,4,1,1322.05,6711.65,In-Person,Cash,1,A786,North,0,1297.74
Convertible,Mercedes,E-Class,2020,5,New,18107.18,Electric,37,Male,Driver,North,28,1,24,Comprehensive,C100652,2022-12-28 16:11:26,8958.72,Vandalism,Minor,0,1,2757.5,4096.37,In-Person,Cash,1,A301,East,0,954.85
Convertible,Mercedes,GLA,2013,12,New,3000.0,Petrol,71,Female,Lawyer,East,4,0,1,Collision,C100653,2020-06-09 18:44:41,2620.41,Fire,Major,5,1,3759.86,2757.39,In-Person,Bank Transfer,1,A472,North,0,469.0
Coupe,Mercedes,C-Class,2011,14,Damaged,19730.69,Petrol,66,Male,Engineer,North,38,1,38,Comprehensive,C100654,2022-07-09 07:14:41,5903.11,Vandalism,Major,4,1,7776.09,1722.23,In-Person,Cash,1,A541,North,0,1249.7
Convertible,Hyundai,Elantra,2022,3,Used,9152.43,Hybrid,50,Male,Doctor,West,39,0,35,Third-party,C100655,2022-01-10 03:42:56,4214.71,Theft,Minor,3,0,6307.09,2664.08,Online,Cash,0,A171,South,1,671.96
Coupe,BMW,X3,2009,16,Used,15519.26,Hybrid,72,Male,Engineer,West,6,3,2,Comprehensive,C100656,2018-12-22 18:43:15,3260.28,Accident,Minor,4,0,4852.64,5608.8,Phone,Cash,1,A780,South,0,1482.96
SUV,Mercedes,C-Class,2021,4,Damaged,3885.59,Hybrid,23,Female,Teacher,South,7,4,4,Comprehensive,C100657,2020-03-19 15:07:59,3810.15,Theft,Minor,2,0,4085.72,2556.16,Phone,Bank Transfer,0,A438,South,0,539.59
Sedan,Toyota,Camry,2019,6,Used,29881.19,Electric,46,Female,Teacher,East,31,1,30,Comprehensive,C100658,2022-10-07 14:48:40,1011.95,Theft,Major,1,1,8311.12,1995.02,Phone,Check,1,A738,East,0,2266.93
Truck,Hyundai,Sonata,2014,11,Used,8267.11,Hybrid,33,Male,Engineer,Central,35,2,33,Collision,C100659,2019-12-20 00:11:31,5799.69,Accident,Minor,5,1,6945.78,3378.67,Online,Cash,1,A421,North,0,800.4
Truck,Honda,CR-V,2006,19,Used,4473.99,Petrol,53,Male,Unemployed,West,32,1,30,Comprehensive,C100660,2020-09-16 13:49:38,6524.31,Accident,Minor,1,0,5172.04,5580.94,Online,Check,1,A779,South,0,453.16
Sedan,Toyota,RAV4,2008,17,Used,12734.26,Hybrid,22,Female,Engineer,Central,53,4,53,Collision,C100661,2020-01-11 17:15:17,6194.63,Accident,Minor,0,0,1724.31,500.0,Online,Cash,1,A968,West,0,1227.52
Convertible,Toyota,RAV4,2009,16,New,29978.69,Petrol,54,Female,Doctor,Central,36,2,33,Third-party,C100662,2018-06-19 19:24:30,3970.15,Accident,Minor,2,1,6431.89,4194.73,Phone,Cash,1,A227,Central,0,2289.28
Coupe,Mercedes,C-Class,2009,16,Used,16440.06,Hybrid,26,Male,Engineer,West,31,0,27,Collision,C100663,2019-12-05 05:07:55,5041.18,Accident,Total Loss,2,0,3526.22,6545.15,In-Person,Cash,1,A837,South,0,912.97
Truck,Honda,Accord,2015,10,New,17509.93,Hybrid,49,Female,Driver,Central,42,1,42,Third-party,C100664,2021-06-08 04:37:50,4108.09,Accident,Minor,4,1,2675.81,4339.8,Phone,Check,1,A407,West,0,1688.35
Convertible,Honda,CR-V,2006,19,New,23827.59,Electric,54,Female,Lawyer,Central,35,2,34,Third-party,C100665,2022-05-16 00:00:56,4791.13,Vandalism,Minor,1,0,2100.26,6011.68,In-Person,Cash,0,A619,Central,0,1346.9
Van,Hyundai,Sonata,2004,21,Used,18786.73,Petrol,51,Male,Unemployed,Central,33,3,31,Collision,C100666,2020-07-15 01:10:45,4278.39,Vandalism,Minor,2,1,5572.53,6071.28,In-Person,Check,0,A416,West,0,1520.08
Van,Honda,Accord,2022,3,Used,29903.67,Electric,56,Male,Doctor,North,48,0,48,Collision,C100667,2022-12-17 15:10:40,6272.71,Fire,Minor,5,0,2396.0,4216.59,In-Person,Cash,1,A782,East,0,1257.91
Truck,BMW,3 Series,2002,23,Used,18082.96,Petrol,64,Male,Engineer,East,24,3,20,Third-party,C100668,2022-03-29 11:07:49,4513.66,Accident,Minor,2,1,2801.02,2375.36,Online,Cash,0,A518,North,0,1072.96
Sedan,Mercedes,E-Class,2017,8,Used,18214.01,Hybrid,74,Male,Unemployed,South,43,0,42,Comprehensive,C100669,2018-07-14 09:46:54,4936.93,Fire,Minor,1,1,3574.71,1841.07,In-Person,Check,1,A434,North,0,976.9
Sedan,Honda,CR-V,2010,15,Used,38113.55,Electric,72,Female,Driver,North,31,2,28,Collision,C100670,2023-06-25 11:40:01,4992.6,Theft,Minor,4,1,6402.23,963.39,Phone,Cash,0,A512,South,0,3317.46
Sedan,Hyundai,Tucson,2014,11,Used,20441.32,Hybrid,57,Male,Unemployed,Central,1,0,0,Comprehensive,C100671,2022-05-31 06:38:53,6449.76,Vandalism,Total Loss,4,0,500.0,4637.63,Phone,Cash,1,A813,North,0,1886.28
Convertible,BMW,3 Series,2020,5,Used,21844.57,Hybrid,46,Female,Engineer,North,8,1,6,Collision,C100672,2022-06-30 10:05:59,5326.45,Fire,Minor,2,1,8359.89,3763.48,Online,Check,1,A402,East,0,2016.39
